Row_ID,Order_Priority,Discount,Unit Price,Shipping Cost,Customer_ID,Customer_Name,Ship_Mode,Customer_Segment,Product_Category,Product_Sub_Category,Product_Container,Product_Name,Product_Base_Margin,Region,Manager,State_or_Province,City,Postal_Code,Order_Date,Ship_Date,Profit,Quantity_ordered_new,Sales,Order_ID,Return_Status
24846,Medium,0.08,3.28,2.31,14,Gwendolyn F Tyson,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 321,0.56,Central,Chris,Minnesota,Prior Lake,55372,2010-05-12,2010-05-13,-24.03,7,22.23,86838,Not Returned
24847,Medium,0.05,3.28,4.20,14,Gwendolyn F Tyson,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 351,0.56,Central,Chris,Minnesota,Prior Lake,55372,2010-05-12,2010-05-13,-37.03,4,13.99,86838,Not Returned
24848,Medium,0.05,3.58,1.63,14,Gwendolyn F Tyson,Regular Air,Small Business,Office Supplies,Rubber Bands,Wrap Bag,"OIC Colored Binder Clips, Assorted Sizes",0.36,Central,Chris,Minnesota,Prior Lake,55372,2010-05-12,2010-05-13,-0.71,4,14.26,86838,Not Returned
24845,Medium,0.01,6.48,7.86,14,Gwendolyn F Tyson,Regular Air,Small Business,Office Supplies,Paper,Small Box,Xerox 213,0.37,Central,Chris,Minnesota,Prior Lake,55372,2013-05-12,2013-05-13,-44.54,4,29.55,86845,Not Returned
18181,Critical,0.00,4.42,4.99,15,Timothy Reese,Regular Air,Small Business,Office Supplies,Envelopes,Small Box,Grip Seal Envelopes,0.38,East,Erin,New York,Smithtown,11787,2010-04-08,2010-04-09,-59.82,7,33.47,86837,Not Returned
20925,Medium,0.01,35.94,6.66,15,Timothy Reese,Regular Air,Small Business,Office Supplies,Envelopes,Small Box,"Tyvek ® Top-Opening Peel & Seel ® Envelopes, Gray",0.40,East,Erin,New York,Smithtown,11787,2010-05-28,2010-05-28,261.88,10,379.53,86839,Not Returned
18263,Medium,0.03,1.76,0.70,15,Timothy Reese,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 310,0.56,East,Erin,New York,Smithtown,11787,2011-12-04,2011-12-06,-1.17,10,17.39,86840,Not Returned
18554,Medium,0.04,5.98,5.20,15,Timothy Reese,Regular Air,Small Business,Office Supplies,Paper,Small Box,Xerox 1992,0.36,East,Erin,New York,Smithtown,11787,2012-04-29,2012-05-01,-24.03,3,19.04,86841,Not Returned
22781,Low,0.00,7.59,4.00,15,Timothy Reese,Regular Air,Small Business,Furniture,Office Furnishings,Wrap Bag,"Master Giant Foot® Doorstop, Safety Yellow",0.42,East,Erin,New York,Smithtown,11787,2013-01-19,2013-01-21,23.27,4,33.72,86842,Not Returned
23287,Low,0.07,4.13,6.89,15,Timothy Reese,Regular Air,Small Business,Office Supplies,Labels,Small Box,"Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters, on Rolls, White, 250/Roll",0.39,East,Erin,New York,Smithtown,11787,2013-01-21,2013-01-23,-174.27,9,38.18,86843,Not Returned
26267,High,0.04,2.98,1.58,16,Sarah Ramsey,Regular Air,Small Business,Office Supplies,Rubber Bands,Wrap Bag,Staples Gold Paper Clips,0.39,East,Erin,New York,Syracuse,13210,2010-02-12,2010-02-15,2.63,6,18.80,86836,Not Returned
26268,High,0.05,115.99,2.50,16,Sarah Ramsey,Regular Air,Small Business,Technology,Telephones and Communication,Small Box,StarTAC 7797,0.55,East,Erin,New York,Syracuse,13210,2010-02-12,2010-02-14,652.73,10,945.99,86836,Not Returned
26266,High,0.08,14.27,7.27,16,Sarah Ramsey,Express Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,"GBC Laser Imprintable Binding System Covers, Desert Sand",0.38,East,Erin,New York,Syracuse,13210,2013-02-12,2013-02-15,3.46,3,45.60,86844,Not Returned
19359,Low,0.05,5.85,2.27,17,Florence Hsu Schwarz,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,"Dixon My First Ticonderoga Pencil, #2",0.56,West,William,Montana,Great Falls,59405,2011-04-20,2011-04-24,-6.82,2,12.18,90033,Not Returned
20459,Critical,0.05,7.77,9.23,17,Florence Hsu Schwarz,Express Air,Small Business,Office Supplies,Appliances,Small Box,Hoover Commercial Soft Guard Upright Vacuum And Disposable Filtration Bags,0.58,West,William,Montana,Great Falls,59405,2012-04-06,2012-04-08,-96.33,4,34.75,90034,Not Returned
23890,High,0.05,26.48,6.93,18,Laurie Hanna,Regular Air,Small Business,Furniture,Office Furnishings,Small Box,DAX Natural Wood-Tone Poster Frame,0.49,West,William,Montana,Helena,59601,2010-05-15,2010-05-16,314.48,17,455.77,90031,Not Returned
21763,Critical,0.08,42.98,4.62,18,Laurie Hanna,Express Air,Small Business,Office Supplies,Appliances,Small Box,Belkin F9M820V08 8 Outlet Surge,0.56,West,William,Montana,Helena,59601,2012-05-15,2012-05-16,446.08,15,646.49,90035,Not Returned
21764,Critical,0.07,8.04,8.94,18,Laurie Hanna,Express Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,"Fellowes Twister Kit, Gray/Clear, 3/pkg",0.40,West,William,Montana,Helena,59601,2012-05-15,2012-05-15,-117.10,9,75.85,90035,Not Returned
24062,Not Specified,0.08,5.00,3.39,18,Laurie Hanna,Regular Air,Small Business,Office Supplies,Rubber Bands,Wrap Bag,Advantus Plastic Paper Clips,0.37,West,William,Montana,Helena,59601,2013-05-21,2013-05-22,-17.49,13,65.69,90038,Not Returned
20578,Low,0.02,110.98,30.00,18,Laurie Hanna,Delivery Truck,Small Business,Furniture,Chairs & Chairmats,Jumbo Drum,Office Star Flex Back Scooter Chair with White Frame,0.71,West,William,Montana,Helena,59601,2013-10-02,2013-10-04,126.31,22,2575.93,90039,Not Returned
20579,Low,0.01,12.53,0.50,18,Laurie Hanna,Regular Air,Small Business,Office Supplies,Labels,Small Box,Avery 485,0.38,West,William,Montana,Helena,59601,2013-10-02,2013-10-04,152.79,17,221.43,90039,Not Returned
24063,Not Specified,0.07,12.99,9.44,19,Jim Rodgers,Regular Air,Small Business,Technology,Office Machines,Medium Box,Hewlett Packard 6S Scientific Calculator,0.39,West,William,Montana,Missoula,59801,2010-05-21,2010-05-23,-114.64,18,231.79,90032,Not Returned
25082,Not Specified,0.06,64.65,35.00,20,Marion Nolan Kaplan,Express Air,Small Business,Office Supplies,Storage & Organization,Large Box,Space Solutions Commercial Steel Shelving,0.80,Central,Chris,Nebraska,Bellevue,68005,2012-05-31,2012-06-02,-929.68,13,802.21,90036,Not Returned
25083,Not Specified,0.00,15.23,27.75,20,Marion Nolan Kaplan,Delivery Truck,Small Business,Furniture,Tables,Jumbo Box,Anderson Hickey Conga Table Tops & Accessories,0.76,Central,Chris,Nebraska,Bellevue,68005,2012-05-31,2012-06-01,-53.78,1,24.48,90036,Not Returned
25711,Medium,0.00,30.98,17.08,20,Marion Nolan Kaplan,Regular Air,Small Business,Office Supplies,Paper,Small Box,Xerox 197,0.40,Central,Chris,Nebraska,Bellevue,68005,2013-03-07,2013-03-08,-41.82,1,49.61,90037,Not Returned
5890,High,0.05,26.48,6.93,21,Tony Wilkins Winters,Regular Air,Small Business,Furniture,Office Furnishings,Small Box,DAX Natural Wood-Tone Poster Frame,0.49,East,Erin,New York,New York City,10012,2010-05-15,2010-05-16,384.38,70,1876.69,41793,Not Returned
6062,Not Specified,0.08,5.00,3.39,21,Tony Wilkins Winters,Regular Air,Small Business,Office Supplies,Rubber Bands,Wrap Bag,Advantus Plastic Paper Clips,0.37,East,Erin,New York,New York City,10012,2010-05-21,2010-05-22,-17.49,58,293.06,42949,Not Returned
6063,Not Specified,0.07,12.99,9.44,21,Tony Wilkins Winters,Regular Air,Small Business,Technology,Office Machines,Medium Box,Hewlett Packard 6S Scientific Calculator,0.39,East,Erin,New York,New York City,10012,2010-05-21,2010-05-23,-114.64,71,914.29,42949,Not Returned
7711,Medium,0.00,30.98,17.08,21,Tony Wilkins Winters,Regular Air,Small Business,Office Supplies,Paper,Small Box,Xerox 197,0.40,East,Erin,New York,New York City,10012,2011-03-07,2011-03-08,-41.82,1,49.61,55269,Not Returned
1359,Low,0.05,5.85,2.27,21,Tony Wilkins Winters,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,"Dixon My First Ticonderoga Pencil, #2",0.56,East,Erin,New York,New York City,10012,2011-04-20,2011-04-24,-6.82,9,54.79,9895,Returned
2459,Critical,0.05,7.77,9.23,21,Tony Wilkins Winters,Express Air,Small Business,Office Supplies,Appliances,Small Box,Hoover Commercial Soft Guard Upright Vacuum And Disposable Filtration Bags,0.58,East,Erin,New York,New York City,10012,2012-04-06,2012-04-08,-96.33,18,156.38,17860,Not Returned
3763,Critical,0.08,42.98,4.62,21,Tony Wilkins Winters,Express Air,Small Business,Office Supplies,Appliances,Small Box,Belkin F9M820V08 8 Outlet Surge,0.56,East,Erin,New York,New York City,10012,2012-05-15,2012-05-16,461.65,60,2585.97,26887,Not Returned
3764,Critical,0.07,8.04,8.94,21,Tony Wilkins Winters,Express Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,"Fellowes Twister Kit, Gray/Clear, 3/pkg",0.40,East,Erin,New York,New York City,10012,2012-05-15,2012-05-15,-117.10,36,303.40,26887,Not Returned
7082,Not Specified,0.06,64.65,35.00,21,Tony Wilkins Winters,Express Air,Small Business,Office Supplies,Storage & Organization,Large Box,Space Solutions Commercial Steel Shelving,0.80,East,Erin,New York,New York City,10012,2012-05-31,2012-06-02,-929.68,50,3085.41,50533,Not Returned
7083,Not Specified,0.00,15.23,27.75,21,Tony Wilkins Winters,Delivery Truck,Small Business,Furniture,Tables,Jumbo Box,Anderson Hickey Conga Table Tops & Accessories,0.76,East,Erin,New York,New York City,10012,2012-05-31,2012-06-01,-53.78,5,122.40,50533,Not Returned
2578,Low,0.02,110.98,30.00,21,Tony Wilkins Winters,Delivery Truck,Small Business,Furniture,Chairs & Chairmats,Jumbo Drum,Office Star Flex Back Scooter Chair with White Frame,0.71,East,Erin,New York,New York City,10012,2013-10-02,2013-10-04,126.31,88,10303.73,18596,Not Returned
2579,Low,0.01,12.53,0.50,21,Tony Wilkins Winters,Regular Air,Small Business,Office Supplies,Labels,Small Box,Avery 485,0.38,East,Erin,New York,New York City,10012,2013-10-02,2013-10-04,223.38,67,872.68,18596,Not Returned
19249,High,0.05,14.34,5.00,23,Lynn Moss,Regular Air,Corporate,Furniture,Office Furnishings,Small Pack,Nu-Dell Leatherette Frames,0.49,West,William,California,Laguna Hills,92653,2011-11-11,2011-11-12,284.53,36,519.23,87655,Not Returned
19250,High,0.00,30.98,8.74,23,Lynn Moss,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 1979,0.40,West,William,California,Laguna Hills,92653,2011-11-11,2011-11-12,859.26,37,1245.31,87655,Not Returned
18350,Not Specified,0.07,22.84,5.47,23,Lynn Moss,Express Air,Corporate,Office Supplies,Paper,Small Box,Xerox 1929,0.39,West,William,California,Laguna Hills,92653,2012-09-10,2012-09-13,83.24,7,165.11,87660,Not Returned
18478,Low,0.10,146.05,80.20,23,Lynn Moss,Delivery Truck,Corporate,Furniture,Tables,Jumbo Box,BPI Conference Tables,0.71,West,William,California,Laguna Hills,92653,2013-11-18,2013-11-25,353.77,11,1591.71,87669,Not Returned
20631,High,0.06,55.48,14.30,24,Edna Thomas,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 194,0.37,West,William,California,Laguna Niguel,92677,2010-01-28,2010-01-29,-28.30,1,67.49,87651,Not Returned
20632,High,0.02,1.68,1.57,24,Edna Thomas,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 323,0.59,West,William,California,Laguna Niguel,92677,2010-01-28,2010-01-30,-5.31,1,2.25,87651,Not Returned
20309,Not Specified,0.07,205.99,2.50,24,Edna Thomas,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,V70,0.59,West,William,California,Laguna Niguel,92677,2012-03-02,2012-03-04,1489.84,13,2159.19,87656,Not Returned
20625,High,0.06,21.38,8.99,24,Edna Thomas,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Small Pack,Boston 1730 StandUp Electric Pencil Sharpener,0.59,West,William,California,Laguna Niguel,92677,2012-12-19,2012-12-20,-23.42,5,105.99,87662,Not Returned
21196,Critical,0.07,11.70,6.96,24,Edna Thomas,Regular Air,Corporate,Office Supplies,Appliances,Medium Box,Harmony HEPA Quiet Air Purifiers,0.50,West,William,California,Laguna Niguel,92677,2013-01-13,2013-01-14,-88.10,8,89.77,87663,Not Returned
21253,High,0.02,5.98,3.85,25,Virginia Hardison,Regular Air,Corporate,Technology,Computer Peripherals,Small Pack,"Imation 3.5"" IBM-Formatted Diskettes, 10/Pack",0.68,West,William,California,Lake Elsinore,92530,2012-04-18,2012-04-20,-27.13,1,7.12,87657,Not Returned
21254,High,0.05,5.98,5.20,25,Virginia Hardison,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 1992,0.36,West,William,California,Lake Elsinore,92530,2012-04-18,2012-04-20,-10.58,1,7.81,87657,Not Returned
21251,Critical,0.06,25.98,5.37,25,Virginia Hardison,Regular Air,Corporate,Office Supplies,Appliances,Medium Box,3M Office Air Cleaner,0.50,West,William,California,Lake Elsinore,92530,2013-07-02,2013-07-04,86.52,7,174.54,87666,Not Returned
21252,Critical,0.05,155.06,7.07,25,Virginia Hardison,Regular Air,Corporate,Office Supplies,Storage & Organization,Small Box,"Dual Level, Single-Width Filing Carts",0.59,West,William,California,Lake Elsinore,92530,2013-07-02,2013-07-04,1268.49,12,1838.39,87666,Not Returned
22410,Medium,0.08,59.98,3.99,26,Marguerite Kane,Regular Air,Corporate,Office Supplies,Appliances,Small Box,Belkin 8 Outlet SurgeMaster II Gold Surge Protector,0.57,West,William,California,Lake Forest,92630,2012-06-27,2012-06-29,420.98,11,619.14,87658,Not Returned
22737,Not Specified,0.00,2.89,0.50,26,Marguerite Kane,Express Air,Corporate,Office Supplies,Labels,Small Box,Avery 498,0.38,West,William,California,Lake Forest,92630,2013-09-02,2013-09-03,19.41,7,28.13,87667,Not Returned
21292,High,0.09,3.69,0.50,26,Marguerite Kane,Regular Air,Corporate,Office Supplies,Labels,Small Box,Avery 52,0.38,West,William,California,Lake Forest,92630,2013-12-11,2013-12-12,37.37,15,54.16,87670,Not Returned
21293,High,0.06,65.99,8.99,26,Marguerite Kane,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,V 3600 Series,0.58,West,William,California,Lake Forest,92630,2013-12-11,2013-12-12,-85.61,3,170.67,87670,Not Returned
23967,Not Specified,0.04,4.14,6.60,27,Guy Gallagher,Regular Air,Corporate,Furniture,Office Furnishings,Small Box,Eldon Image Series Black Desk Accessories,0.49,West,William,California,Lakewood,90712,2010-11-02,2010-11-04,8.89,12,54.78,87652,Not Returned
23535,Low,0.10,35.44,19.99,27,Guy Gallagher,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 1880,0.38,West,William,California,Lakewood,90712,2012-07-12,2012-07-14,-47.01,4,142.51,87659,Not Returned
23536,Low,0.06,55.48,14.30,27,Guy Gallagher,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 194,0.37,West,William,California,Lakewood,90712,2012-07-12,2012-07-17,346.70,9,502.47,87659,Not Returned
23505,Critical,0.00,8.09,7.96,27,Guy Gallagher,Express Air,Corporate,Furniture,Office Furnishings,Small Box,"6"" Cubicle Wall Clock, Black",0.49,West,William,California,Lakewood,90712,2012-10-26,2012-10-26,-171.27,23,204.57,87661,Not Returned
23506,Critical,0.06,14.20,5.30,27,Guy Gallagher,Regular Air,Corporate,Furniture,Office Furnishings,Wrap Bag,Coloredge Poster Frame,0.46,West,William,California,Lakewood,90712,2012-10-26,2012-10-28,33.41,11,161.11,87661,Not Returned
23968,Not Specified,0.01,65.99,8.99,27,Guy Gallagher,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,SC-3160,0.59,West,William,California,Lakewood,90712,2013-11-02,2013-11-04,847.94,29,1730.04,87668,Not Returned
24987,High,0.06,2.88,0.70,28,Ronnie McNamara,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 346,0.56,West,William,California,Lancaster,93534,2011-01-22,2011-01-23,-2.21,1,3.41,87653,Not Returned
24074,Critical,0.07,225.04,11.79,28,Ronnie McNamara,Regular Air,Corporate,Office Supplies,Appliances,Medium Box,Holmes Harmony HEPA Air Purifier for 17 x 20 Room,0.42,West,William,California,Lancaster,93534,2013-04-14,2013-04-16,28.81,1,226.03,87665,Not Returned
25324,Not Specified,0.08,65.99,3.90,29,Elizabeth Walker,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,StarTAC Series,0.55,West,William,California,Lawndale,90260,2011-01-30,2011-02-01,-120.52,3,164.10,87654,Not Returned
25323,Not Specified,0.08,3.08,0.99,29,Elizabeth Walker,Regular Air,Corporate,Office Supplies,Labels,Small Box,Avery 481,0.37,West,William,California,Lawndale,90260,2013-01-30,2013-01-31,-1.69,1,3.85,87664,Not Returned
18877,High,0.01,6.48,6.65,31,Alice Capps,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 1966,0.36,West,William,Oregon,Eugene,97405,2012-08-11,2012-08-13,-43.33,15,99.56,89206,Not Returned
23509,High,0.08,34.99,7.73,32,Matthew Berman,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Small Box,Hunt Boston® Vacuum Mount KS Pencil Sharpener,0.59,West,William,Oregon,Grants Pass,97526,2010-02-22,2010-02-23,144.69,13,424.68,89199,Not Returned
23612,High,0.01,17.98,8.51,32,Matthew Berman,Regular Air,Corporate,Technology,Office Machines,Medium Box,Canon P1-DHIII Palm Printing Calculator,0.40,West,William,Oregon,Grants Pass,97526,2010-03-27,2010-03-28,-35.88,2,40.17,89200,Not Returned
23278,Medium,0.09,125.99,7.69,32,Matthew Berman,Express Air,Corporate,Technology,Telephones and Communication,Small Box,StarTAC 3000,0.59,West,William,Oregon,Grants Pass,97526,2010-07-20,2010-07-22,210.00,8,783.55,89202,Not Returned
19355,Low,0.06,205.99,8.99,32,Matthew Berman,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,TimeportP7382,0.56,West,William,Oregon,Grants Pass,97526,2010-09-12,2010-09-19,2568.10,22,3838.14,89203,Not Returned
21213,Critical,0.08,8.95,2.01,32,Matthew Berman,Regular Air,Corporate,Office Supplies,Paper,Wrap Bag,"Recycled Desk Saver Line ""While You Were Out"" Book, 5 1/2"" X 4""",0.39,West,William,Oregon,Grants Pass,97526,2011-10-06,2011-10-08,85.86,15,133.07,89204,Not Returned
22221,High,0.06,449.99,49.00,32,Matthew Berman,Delivery Truck,Corporate,Technology,Copiers and Fax,Jumbo Drum,Canon PC940 Copier,0.38,West,William,Oregon,Grants Pass,97526,2013-06-12,2013-06-14,345.00,5,2157.25,89207,Not Returned
23654,Not Specified,0.03,4.24,5.41,33,Ricky Hensley,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,Storex DuraTech Recycled Plastic Frosted Binders,0.35,West,William,Oregon,Gresham,97030,2010-06-15,2010-06-17,-84.44,13,58.68,89201,Not Returned
23655,Not Specified,0.04,2.94,0.70,33,Ricky Hensley,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 338,0.58,West,William,Oregon,Gresham,97030,2010-06-15,2010-06-16,24.31,18,53.10,89201,Not Returned
25327,Medium,0.05,4.82,5.24,33,Ricky Hensley,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,Wilson Jones Turn Tabs Binder Tool for Ring Binders,0.39,West,William,Oregon,Gresham,97030,2012-01-26,2012-01-27,-75.12,5,24.27,89205,Not Returned
24531,Critical,0.05,70.98,30.00,33,Ricky Hensley,Delivery Truck,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,Novimex High-Tech Fabric Mesh Task Chair,0.78,West,William,Oregon,Gresham,97030,2013-08-16,2013-08-18,-162.15,9,640.97,89208,Not Returned
24532,Critical,0.05,4.98,4.70,33,Ricky Hensley,Regular Air,Corporate,Office Supplies,Paper,Small Box,Staples Copy Paper (20Lb. and 84 Bright),0.38,West,William,Oregon,Gresham,97030,2013-08-16,2013-08-18,-14.99,9,46.63,89208,Not Returned
25223,Not Specified,0.00,6783.02,24.49,35,Milton Bland,Regular Air,Small Business,Technology,Office Machines,Large Box,Polycom ViewStation™ ISDN Videoconferencing Unit,0.39,West,William,Oregon,Gresham,97030,2012-11-27,2012-11-28,2396.88,3,21366.51,91256,Not Returned
21026,Low,0.07,65.99,3.99,35,Milton Bland,Regular Air,Small Business,Technology,Telephones and Communication,Small Box,StarTAC 7760,0.59,West,William,Oregon,Gresham,97030,2013-05-28,2013-06-02,165.50,7,394.37,91257,Not Returned
25224,Not Specified,0.02,9.27,4.39,36,Ray Morgan,Express Air,Small Business,Office Supplies,Paper,Wrap Bag,"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book",0.38,West,William,Oregon,Hillsboro,97123,2012-11-27,2012-11-29,71.43,29,272.98,91256,Not Returned
25225,Not Specified,0.03,6.68,6.15,36,Ray Morgan,Regular Air,Small Business,Office Supplies,Paper,Small Box,Xerox 1968,0.37,West,William,Oregon,Hillsboro,97123,2012-11-27,2012-11-29,5.65,10,73.81,91256,Not Returned
25226,Not Specified,0.10,5.78,5.67,37,Stacy Chandler,Regular Air,Small Business,Office Supplies,Paper,Small Box,Xerox 1978,0.36,West,William,Oregon,Keizer,97303,2012-11-27,2012-11-30,7.67,11,62.59,91256,Not Returned
20935,Medium,0.02,1.68,1.57,39,Ian L O'Donnell,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 323,0.59,Central,Chris,Illinois,Alton,62002,2011-07-03,2011-07-04,-30.54,10,17.12,88682,Not Returned
